Date,Game,Coop,james,john,robert,michael,william,david,richard,joseph,thomas,charles,chris,daniel,matt,tony
2/9/22,Through the Ages,,,,0,,0,,,,,,,1,0,
2/7/22,Small World,,0,,0,0,0,,,,,,,1,,
2/2/22,Lovecraft Letter,,,,1,0,,,,,0,,,0,,
2/6/22,Love Letter Online,,,1,,,,,,,,,,0,,
2/6/22,Lovecraft Letter,,,1,,,,0,0,0,0,,,,,
2/4/22,Small World,,,,0,0,,,,,0,,,1,,
2/3/22,Star Realms,,1,,0,0,0,,0,,0,,,0,,
1/31/22,Star Realms,,0,,,1,,,,,,,,0,,
1/30/22,Chess,,,1,,,,0,,,,,,,,
1/30/22,Chess,,,0,,,,1,,,,,,,,
1/29/22,Chess,,,1,,,,0,,,,,,,,
1/20/22,Lovecraft Letter,,0,0,0,1,,0,,,,,,0,,
1/16/22,Court of the Dead: Mourner's Call,,0,,0,,,1,,0,,,,,,
1/16/22,Lovecraft Letter,,,0,,,1,,0,,0,,,0,,
1/16/22,Lovecraft Letter,,,0,,,1,,0,,,,,0,,
1/14/22,Lovecraft Letter,,1,,,,0,,,,,,,0,,
1/14/22,Lovecraft Letter,,0,,,,1,,,,,,,0,,
1/12/22,Scythe,,1,0,0,,,0,0,,,,,0,,
1/10/22,Lovecraft Letter,,,0,,1,0,,0,,,,,0,,
1/10/22,Lovecraft Letter,,,0,,0,1,,0,,,,,0,,
1/9/22,Shadows Over Camelot,,,1,,1,1,,1,,0,,,1,,
1/8/22,Lovecraft Letter,,,0,,0,0,,0,,1,,,0,,
1/8/22,Lovecraft Letter,,,0,,0,0,,1,,0,,,0,,
1/7/22,Lovecraft Letter,,,,0,0,1,0,0,,,,,0,,
1/6/22,Chess,,,0,,,,1,,,,,,,,
1/6/22,Saboteur,,0,0,0,0,1,0,0,0,,,,0,,
1/3/22,Sagrada,,0,,,,,0,0,0,1,,,0,,
1/2/22,Resistance,,0,,,,,0,0,0,,,,1,,1
1/2/22,Resistance,,0,,,,,1,0,1,,,,1,,1
12/16/21,Code Names,,0,0,1,0,,0,1,1,1,,,0,,
12/15/21,Salt,,,,,,,1,,,,,,,,
12/15/21,Eclipse,,0,,1,,0,0,0,,,,,0,,
12/12/21,Code Names,,1,0,1,0,0,0,1,,1,,,0,,
12/9/21,Code Names,,1,1,1,0,,1,0,0,0,,,1,,
12/6/21,Quantum,,0,,,1,,0,0,,,,,,,
12/5/21,Love Letter Online,,,,1,,,,,,,,,0,,
12/5/21,Love Letter Online,,,,1,,,,,,,,,0,,
11/22/21,Love Letter Online,,,0,1,,0,,,,,,,0,,
11/22/21,Love Letter Online,,,0,0,0,1,,,,,,,,,
11/22/21,Code Names,,1,1,0,1,0,1,1,,0,,,0,,
11/21/21,Love Letter Online,,,0,1,,,,,,,,,0,,
11/21/21,Code Names,,,1,0,0,1,0,1,1,0,,,1,,
11/20/21,Code Names,,0,0,1,0,0,1,0,1,,,,1,,
11/18/21,Love Letter 2.0,,0,,1,0,0,,,,0,,,0,,
11/18/21,Love Letter 2.0,,0,,1,0,0,,,,0,,,0,,
11/11/21,Love Letter Online,,,0,1,,0,,,,,,,,,
11/11/21,Love Letter Online,,,1,0,,,,,,,,,0,,
11/11/21,Love Letter Online,,,0,1,,,,,,,,,,,
11/11/21,Love Letter Online,,,1,,,,,,,,,,0,,
11/11/21,Code Names,,,0,1,0,1,0,,0,,,,1,,
11/8/21,Love Letter Online,,,,,0,,0,,,1,,,,,
11/8/21,Love Letter Online,,,,0,,1,,,,,,,,,
11/7/21,Love Letter Online,,,,1,,0,,,,,,,,,
11/6/21,Love Letter Online,,,,1,,0,0,,,,,,,,
11/6/21,Love Letter Online,,,,0,,1,0,,,,,,,,
11/6/21,Love Letter Online,,,,0,,1,,,,,,,,,
11/6/21,Love Letter Online,,,,0,,1,,,,,,,,,
11/6/21,Love Letter Online,,,,0,,1,,,,,,,,,
11/5/21,Love Letter Online,,,,1,,0,,,,,,,,,
11/5/21,Love Letter Online,,,,0,,1,,,,,,,,,
11/4/21,Love Letter Online,,,,1,,0,,,,,,,,,
11/4/21,Love Letter Online,,,,1,,0,,,,,,,,,
11/1/21,Love Letter 2.0,,,0,,,,,0,0,0,,,0,,
11/1/21,Love Letter 2.0,,,1,,,,,0,0,0,,,0,,
10/31/21,Modern Art,,,0,,,,,0,0,0,,,1,,
10/30/21,Love Letter,,,1,,,0,,1,1,1,,,1,,
10/30/21,Love Letter,,0,0,1,,0,,,0,0,,,0,,
10/29/21,Love Letter 2.0,,,0,,,,,,0,0,,,1,,
10/29/21,Love Letter 2.0,,,0,,,,,,0,0,,,1,,
10/28/21,Love Letter,,,0,,0,0,,0,,1,,,0,,
10/28/21,Love Letter,,,0,1,0,0,,0,,0,,,0,,
10/25/21,Saboteur,,0,0,0,0,,0,0,1,1,,,0,,
10/24/21,Welcome To,,1,0,0,,,0,0,0,0,,,0,,
10/23/21,Modern Art,,,1,,,,,0,0,,,,0,,
10/22/21,Flux,,,0,1,,0,,0,,,,,,,
10/22/21,Flux,,,1,0,,,,0,,,,,,,
10/21/21,Love Letter,,0,,1,,0,,0,,,,,,,
10/21/21,Love Letter,,0,,0,,1,,0,,,,,,,
10/21/21,Love Letter,,0,,,,1,,0,,,,,,,
10/13/21,Ticket to Ride,,1,0,0,,,,,,,,,0,0,
10/13/21,Ticket to Ride,,0,1,0,,,,,,,,,0,0,
10/11/21,Code Names,,,0,1,0,1,,1,,1,,,0,,
10/10/21,Love Letter 2.0,,,0,,,0,1,0,0,,,,,,
10/10/21,Love Letter 2.0,,,0,,,0,0,1,0,,,,,,
10/9/21,Scopa,,,1,,,,,1,0,,,,0,,
10/7/21,Code Names,,1,1,1,,1,1,1,1,1,,,1,,
10/2/21,Modern Art,,,1,,,,,0,0,,,,0,,
10/1/21,Sagrada,,,,,,,,0,0,,,,1,,
9/29/21,Twilight Imperium,,0,,0,,0,,,,,,,0,,
9/27/21,Pass the Pigs,,0,1,,,,,,,,,,,,
9/25/21,Scopa,,,,,,,,,,1,,,0,,
9/25/21,Scopa,,,,,,,,,,1,,,0,,
9/24/21,Sagrada,,,0,,,,,,0,,,,1,,
9/23/21,Scopa,,,1,,,,,0,0,,,,1,,
9/23/21,Scopa,,,1,,,,,0,0,,,,1,,
9/23/21,Scopa,,,0,,,,,1,1,,,,0,,
9/20/21,Love Letter 2.0,,,,0,0,1,,0,,0,,,,0,
9/19/21,Love Letter 2.0,,0,0,1,0,,,,,0,,,0,,
9/19/21,Love Letter 2.0,,0,0,0,1,,,,,0,,,0,,
9/19/21,Love Letter 2.0,,0,0,0,0,,,,,1,,,0,,
9/18/21,Code Names,,0,1,0,0,1,,0,0,1,,,1,,
9/18/21,Pass the Pigs,,,0,1,,,,,,,,,0,,
9/18/21,Pass the Pigs,,1,0,0,,,,,,,,,,,
9/18/21,Pass the Pigs,,0,1,0,,,,,,,,,,,
9/17/21,Pass the Pigs,,,1,0,,,,,,,,,,,
9/17/21,Code Names,,0,0,1,0,1,,0,0,1,,,1,,
9/16/21,Love Letter 2.0,,,0,,1,0,,0,,0,,,0,,
9/16/21,Love Letter 2.0,,,0,,1,0,,0,,0,,,0,,
9/13/21,Love Letter,,0,0,0,,0,,1,,0,,,0,0,
9/13/21,Love Letter 2.0,,0,0,0,,1,,0,,,,,0,1,
9/12/21,Pass the Pigs,,0,1,0,,,,,,,,,0,,
9/12/21,Pass the Pigs,,0,0,0,,,,,,,,,1,,
9/11/21,Pass the Pigs,,0,0,,1,0,,,,,,,0,,
9/11/21,Love Letter,,0,0,,0,1,,,,,,,0,,
9/11/21,Sagrada,,1,0,,0,0,,,,,,,0,,
9/11/21,Pass the Pigs,,0,0,1,,,,,,,,,0,,
9/10/21,Scopa,,,0,,,,,0,,1,,,1,,
9/10/21,Scopa,,,0,,,,,0,,1,,,1,,
9/9/21,Salt,,,1,,,0,,0,,,,,,,
9/9/21,Salt,,,0,,,1,,0,,,,,,,
9/9/21,Salt,,,0,,,0,,1,,,,,,,
9/9/21,Scopa,,,0,,,,,0,,1,,,1,,
9/9/21,Scopa,,,0,,,,,0,,1,,,1,,
9/6/21,Scopa,,,1,,,,,1,,0,,,0,,
9/6/21,Salt,,,,,,1,,,,,,,,,
9/5/21,Sushi Go!,,,1,,,,,0,,,,,0,,
9/5/21,Sushi Go!,,,0,,,,,1,,,,,0,,
9/5/21,Love Letter,,,0,,,,,1,,,,,0,,
9/5/21,Love Letter,,,0,,,,,1,,,,,0,,
9/5/21,Love Letter,,,0,,,,,0,,,,,1,,
9/4/21,Love Letter,,0,1,0,0,,,,,,,,0,,
9/4/21,Love Letter,,0,0,1,0,,,,,,,,0,,
9/1/21,Twilight Imperium,,0,0,0,,,,0,,,,,1,0,
8/30/21,Twilight Struggle,,0,,,,,,,1,,,,,,
8/29/21,Love Letter,,1,,,,,,,0,,,,,,
8/29/21,Love Letter,,0,,,,,,,1,,,,,,
8/29/21,Love Letter,,,0,,1,0,,0,,0,,,0,,
8/28/21,Sagrada,,,0,0,,1,,,,,,,0,,
8/27/21,Love Letter,,,0,0,0,,0,1,,,,,0,,
8/26/21,Twilight Imperium,,,0,0,,0,,,,,,,1,,
8/24/21,Saboteur,,0,1,0,,,0,0,,0,,,0,,
8/23/21,Love Letter,,,,1,,0,,,,,,,,,
8/23/21,Love Letter,,,,0,,1,,,,,,,,,
8/22/21,Love Letter,,1,0,,,,,,,,,,0,,
8/22/21,Love Letter,,0,1,,,,,,,,,,0,,
8/22/21,Love Letter,,1,,,,,,,,,,,0,,
8/22/21,Love Letter,,1,,,,,,,,,,,0,,
8/22/21,Love Letter,,,0,,0,,1,0,0,,,,,,
8/22/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/22/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/22/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/21/21,Love Letter,,,0,,0,,,0,0,1,,,0,,
8/20/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/21,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/21,Love Letter Online,,,,0,,1,,,,,,,,,
8/19/21,Resistance,,0,1,0,1,1,1,0,,1,,,1,,
8/17/21,Resistance,,,1,0,,0,,0,0,0,0,,1,,
8/17/21,Resistance,,,1,0,,1,,1,0,1,1,,1,,
8/16/21,Resistance,,,1,0,,0,,1,1,,1,,,,
8/16/21,Love Letter,,,0,0,,0,,1,,,0,,0,,
8/14/21,Love Letter,,,0,0,,0,0,0,0,0,1,,0,,
8/13/21,Love Letter,,,0,0,,0,0,1,,,0,,,,
8/12/21,Resistance,,,,1,,,1,,,,0,,,,
8/12/21,Resistance,,,,1,,,1,,,,0,,,,
8/12/21,Resistance,,,1,,,1,1,1,,,0,,,,
8/12/21,Resistance,,,1,1,,1,0,1,,,0,,,,
8/11/21,Scythe,,,0,0,,0,1,0,,,0,,,,
8/6/21,Resistance,,,1,1,1,1,1,1,,0,0,0,0,,
8/6/21,Resistance,,,0,0,0,0,0,0,,1,1,1,1,,
8/5/21,Resistance,,,0,1,1,1,1,,,,0,0,1,,
8/3/21,Love Letter,,,1,,0,0,,,,,0,0,0,,
8/2/21,Resistance,,,1,1,1,,0,,,,0,0,,,
8/2/21,Resistance,,,1,1,1,,1,,,,0,0,,,
8/2/21,Resistance,,,0,0,0,,1,,,,1,1,,,
8/1/21,Saboteur,,,0,1,,,,,,0,0,0,0,,
7/30/21,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/21,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/21,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/21,Sushi Go!,,,,,,,,,0,0,0,0,1,,
7/29/21,Love Letter,,,,,0,0,0,,,0,0,0,1,,
7/29/21,Love Letter,,,0,1,,,,,,,,,,,
7/26/21,Love Letter,,,1,0,,0,0,,0,0,0,0,,,
7/25/21,Love Letter,,,0,0,1,,0,,,,0,0,0,,
7/23/21,Sagrada,,,,,,,,,1,0,,,,,
7/23/21,Sagrada,,,,,,,,,0,1,,,,,
7/22/21,Love Letter,,0,0,0,,1,0,0,,,0,0,0,,
7/14/21,Eclipse,,0,,0,,,1,0,,,0,,0,,
7/11/21,Love Letter,,,0,,,,,,,,0,0,1,,
7/10/21,Love Letter,,,0,1,,,,,,,0,,0,,
7/10/21,Love Letter,,,0,0,,,0,0,,1,0,0,0,,
7/9/21,Sushi Go!,,,,,,,,,,1,0,0,0,,
7/8/21,Sushi Go!,,,,,,,1,,,0,0,0,0,,
7/8/21,Sushi Go!,,,,,,,0,,,0,1,0,0,,
7/8/21,Sushi Go!,,,,,,,0,,,0,0,0,1,,
7/4/21,Saboteur,,0,0,,,1,0,0,1,1,1,1,0,,
7/3/21,Salt,,,,,,,,,1,,,,,,
7/2/21,Love Letter,,0,1,,,0,0,,0,0,0,0,0,,
7/2/21,Love Letter,,,,,,,1,0,,,,,,,
7/2/21,Love Letter,,,,,,,1,0,,,,,,,
7/2/21,Love Letter,,,,,,,0,1,,,,,,,
6/29/21,Dixit,,0,0,,,0,1,0,0,0,0,0,,,
6/28/21,Love Letter,,0,0,0,0,1,0,0,0,0,0,0,,,
6/27/21,Love Letter,,1,0,,,0,,,,0,0,,,,
6/27/21,Saboteur,,0,0,0,0,0,,0,0,0,0,1,,,
6/26/21,Love Letter,,0,0,0,,0,,,0,,1,0,,,
6/25/21,Saboteur,,0,0,0,0,0,,0,,,1,0,,,
6/22/21,Carcassone,,1,0,0,,,,0,0,,,,,,
6/22/21,Carcassone,,0,0,0,,,,1,0,,,,,,
6/21/21,Love Letter,,,,,0,,,,,1,,,,,
6/21/21,Coup: Rebellion,,0,0,1,0,,0,0,0,0,0,0,,,
6/21/21,Coup: Rebellion,,0,0,0,0,,0,0,0,0,1,0,,,
6/20/21,Love Letter,,,0,,,,1,0,,,0,0,,,
6/15/21,Love Letter,,,,,,0,1,,,0,,,,,
6/13/21,Welcome To,,1,0,0,0,0,0,0,0,0,0,0,,,
6/13/21,Welcome To,,0,0,0,0,0,0,0,0,1,0,0,,,
6/10/21,Scythe,,,0,0,,0,1,0,,,0,,,,
6/7/21,Love Letter,,,0,0,0,0,,,0,1,0,0,,,
6/7/21,Carcassone,,,0,1,0,0,,,,,,,,,
6/7/21,Love Letter,,,,,,,,0,0,,1,0,,,
6/6/21,Love Letter,,,,,,,0,1,0,,0,0,,,
6/6/21,Love Letter,,,,,,0,0,,1,,0,0,,,
6/5/21,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/5/21,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/5/21,Love Letter,,,,,,0,0,,1,,0,0,,,
6/4/21,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/4/21,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/4/21,Love Letter,,,,,0,0,,,,1,0,0,,,
6/3/21,Scopa,,,0,0,,,1,,1,,,,,,
6/3/21,Scopa,,,1,1,,,0,,0,,,,,,
6/1/21,Saboteur,,0,0,,0,0,1,0,0,0,0,0,,,
5/30/21,Welcome To,,1,0,0,0,0,0,0,,0,0,0,,,
5/30/21,Welcome To,,0,0,1,0,0,0,0,,0,0,0,,,
5/25/21,Love Letter,,,0,,0,,0,1,0,0,,0,,,
5/24/21,Saboteur,,0,0,,0,,0,,0,0,,1,,,
5/22/21,Love Letter,,0,0,,0,0,0,0,1,0,,,,,
5/18/21,Love Letter,,0,,0,0,1,0,,,0,,,,,
5/17/21,Love Letter,,,1,0,0,0,0,,,0,,,,,
5/17/21,Love Letter,,,,,,,1,0,0,,,,,,
5/17/21,Tsuro,,,0,,0,0,0,0,,1,,,,,
5/17/21,Tsuro,,,0,,1,1,0,0,,0,,,,,
5/17/21,Tsuro,,,0,,0,1,0,0,,0,,,,,
5/16/21,Coup,,,,0,0,1,0,0,,0,,,,,
5/16/21,Coup,,,,0,0,0,0,1,,0,,,,,
5/15/21,Love Letter,,1,,0,0,0,0,0,,,,,,,
5/14/21,Welcome To,,,0,1,0,,0,0,0,0,,,,,
5/11/21,Love Letter,,1,0,,,,,,,,,,,,
5/10/21,Scopa,,1,0,0,1,,,,,,,,,,
5/9/21,Welcome To,,0,0,1,0,0,0,,0,0,,,,,
5/8/21,Scopa,,,0,1,,,1,,0,,,,,,
5/7/21,Welcome To,,0,0,0,,,0,,0,1,,,,,
5/7/21,Coup: Rebellion,,1,0,0,,,,,0,0,,,,,
5/7/21,Coup: Rebellion,,0,0,0,,,,,0,1,,,,,
5/6/21,Coup: Rebellion,,0,0,0,0,,,,0,1,,,,,
5/4/21,Scopa,,,0,1,,,1,,0,,,,,,
5/3/21,Love Letter,,0,1,,,0,0,,0,,,,,,
5/3/21,Love Letter,,0,0,,,0,1,,0,,,,,,
5/1/21,Welcome To,,0,0,0,,,0,,,1,,,,,
4/30/21,Sushi Go!,,0,0,,,0,,,0,1,,,,,
4/30/21,Sushi Go!,,0,0,,,0,,,1,1,,,,,
4/30/21,Sushi Go!,,0,0,,,1,,,0,0,,,,,
4/27/21,Love Letter,,0,0,0,1,0,0,,0,0,,,,,
4/26/21,Sagrada,,0,1,0,,,,,0,0,,,,,
4/24/21,Love Letter,,,,0,,0,0,,,1,,,,,
4/20/21,Love Letter,,1,0,0,,,0,,0,,,,,,
4/12/21,Coup: Rebellion,,0,1,0,0,0,0,,0,,,,,,
4/11/21,Love Letter,,,,,1,,0,,0,,,,,,
4/11/21,Love Letter,,,,,0,,0,,1,,,,,,
4/10/21,Love Letter,,0,1,,,,,,0,,,,,,
4/9/21,Sagrada,,0,1,,,,,,0,,,,,,
4/9/21,Twilight Struggle,,0,,,,,,,1,,,,,,
4/7/21,Twilight Imperium,,0,0,0,,1,,,,,,,,,
4/6/21,Saboteur,,0,0,1,0,0,1,,0,,,,,,
4/3/21,Love Letter,,,0,0,,,,,1,,,,,,
4/2/21,Resistance,,1,0,1,0,,,,0,,,,,,
4/2/21,Resistance,,0,1,1,0,,,,0,,,,,,
4/2/21,Resistance,,0,0,0,1,,,,1,,,,,,
4/1/21,Love Letter,,0,1,0,0,,0,,,,,,,,
4/1/21,Love Letter,,0,1,0,0,,0,,,,,,,,
3/30/21,Sushi Go!,,,1,,0,0,0,,0,,,,,,
3/30/21,Sushi Go!,,,0,,1,0,0,,0,,,,,,
3/30/21,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/30/21,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/28/21,Ticket to Ride,,0,,1,0,0,,,0,,,,,,
3/27/21,Love Letter,,0,,0,0,0,1,,0,,,,,,
3/22/21,Love Letter,,,0,0,0,1,,,0,,,,,,
3/21/21,Coup: Rebellion,,0,0,0,,0,0,0,1,,,,,,
3/20/21,Coup: Rebellion,,1,0,0,0,0,0,0,0,,,,,,
3/19/21,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/16/21,Ticket to Ride,,1,,0,0,0,0,,0,,,,,,
3/14/21,Twilight Struggle,,0,,,,,,,1,,,,,,
3/13/21,Coup,,0,0,1,,0,,,0,,,,,,
3/13/21,Coup,,0,0,1,,0,,,0,,,,,,
3/13/21,Coup,,0,0,0,,0,,,1,,,,,,
3/12/21,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/9/21,Love Letter,,0,0,1,,0,0,,,,,,,,
3/8/21,Saboteur,,0,0,1,0,0,,,0,,,,,,
3/4/21,Scythe,,1,,0,,,0,0,,,,,,,
3/2/21,Saboteur,,0,0,0,0,,1,,,,,,,,
2/27/21,Love Letter,,,0,0,1,0,0,,0,,,,,,
2/15/21,Resistance,,0,,1,1,0,1,,,,,,,,
2/15/21,Resistance,,0,,0,1,0,1,,,,,,,,
2/15/21,Resistance,,1,,0,0,1,1,,,,,,,,
2/14/21,Coup: Rebellion,,1,0,0,,0,,,0,,,,,,
2/14/21,Coup: Rebellion,,1,0,0,0,0,,,0,,,,,,
2/14/21,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/14/21,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/13/21,Love Letter,,0,,1,,,0,,0,,,,,,
2/13/21,Love Letter,,0,,0,,,1,,0,,,,,,
2/12/21,Love Letter,,1,0,0,0,0,0,0,,,,,,,
2/11/21,Twilight Imperium,,0,0,0,,0,1,0,,,,,,,
2/8/21,Love Letter,,0,0,0,0,0,,0,1,,,,,,
2/7/21,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/7/21,Coup: Rebellion,,0,0,0,1,0,0,,0,,,,,,
2/7/21,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/6/21,Tsuro,,0,0,0,0,1,0,,0,,,,,,
2/4/21,Love Letter,,1,0,0,0,0,0,,0,,,,,,
2/1/21,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/21,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/21,Coup: Rebellion,,0,1,0,0,0,0,,,,,,,,
1/31/21,Ticket to Ride,,0,0,1,0,0,0,,,,,,,,
1/28/21,Coup: Rebellion,,0,0,1,0,0,,0,,,,,,,
1/28/21,Coup: Rebellion,,0,0,0,1,0,,0,,,,,,,
1/28/21,Coup: Rebellion,,0,0,0,0,1,,0,,,,,,,
1/23/21,Love Letter,,0,0,0,,0,0,1,0,,,,,,
1/22/21,Tsuro,,1,0,,,,0,0,0,,,,,,
1/21/21,Love Letter,,0,,1,,0,0,,0,,,,,,
1/18/21,Love Letter,,0,1,0,,,0,0,0,,,,,,
1/17/21,Sagrada,,0,0,1,,,0,,0,,,,,,
1/16/21,Love Letter,,0,0,1,,0,0,,0,,,,,,
1/15/21,Sushi Go!,,0,0,0,,1,0,,,,,,,,
1/15/21,Sushi Go!,,0,1,0,,0,,,0,,,,,,
1/15/21,Sushi Go!,,0,0,0,,1,,,0,,,,,,
1/14/21,Scythe,,,0,0,,,1,0,,,,,,,
1/11/21,Love Letter,,0,0,0,0,,1,,,,,,,,
1/10/21,Tsuro,,1,0,0,0,0,0,0,0,,,,,,
1/10/21,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/10/21,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/8/21,Love Letter,,0,1,0,0,0,,,,,,,,,
1/7/21,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/21,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/21,Tsuro,,1,0,0,1,0,0,0,,,,,,,
1/4/21,Love Letter,,1,0,,,,0,,,,,,,,
1/4/21,Love Letter,,0,1,,,,0,,,,,,,,
12/18/20,Tsuro,,1,0,0,0,0,0,,,,,,,,
12/18/20,Tsuro,,0,0,1,0,0,0,,,,,,,,
12/17/20,Tsuro,,0,1,0,0,0,0,,,,,,,,
12/17/20,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/20,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/20,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/14/20,Eclipse,,0,0,0,1,0,0,,,,,,,,
12/10/20,Dixit,,1,0,0,0,0,0,,,,,,,,
12/6/20,Dixit,,0,0,1,0,0,0,,,,,,,,
12/6/20,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/6/20,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/20,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/20,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/5/20,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/4/20,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/3/20,Sagrada,,1,0,0,0,0,0,,,,,,,,
11/30/20,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/26/20,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/26/20,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/20,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/20,Tsuro,,0,1,0,0,0,0,,,,,,,,
11/15/20,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/20,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/20,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/11/20,Scythe,,0,0,1,0,0,0,,,,,,,,
11/9/20,7 Wonders,,0,0,0,1,0,0,,,,,,,,
11/8/20,Code Names,,1,0,0,1,0,1,,,,,,,,
11/7/20,Sushi Go!,,1,0,0,0,0,0,,,,,,,,
11/7/20,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/7/20,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/6/20,Carcassone,,1,0,0,0,0,0,,,,,,,,
